title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/NanWu914/my-todo-app;1.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/NanWu914/Portfolio-web;2.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/NanWu914/PDF-Templates;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/NanWu914/invoice-generation;4.png
Daily News Digest; A programthat accesses news about a particular topic and sends them by email.;https://github.com/NanWu914/news-api-email;5.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/NanWu914/Weather-API;6.png
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://github.com/NanWu914/Weather-forecast-data-app;7.png
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://github.com/NanWu914/Scraping-tours-sql;8.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://github.com/NanWu914/Email-Webcam-Detection;9.png
Hotel Booking;A app that users can book a hotel and get a reservation confirmation.;https://github.com/NanWu914/Hotel-Booking;10.png
Student Management System;A desktop PyQt6 GUI app for managing student data with an SQLite database backend.;https://github.com/NanWu914/sqlite-student-management-system;11.png
Student Management System;A desktop PyQt6 GUI app for managing student data with an MySQL database backend.;https://github.com/NanWu914/mysql-student-management-system;12.png
Job Application Web App; A Flask App that users can submit a job application form and get an email.;https://github.com/NanWu914/flask-form;13.png
Job Application Web App; A Django  App that users can submit a job application form and get an email.;https://github.com/NanWu914/Django-form;14.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://github.com/NanWu914/restaurant-menu;15.png
